Show	Season	Episode	Title in filename	Verified	Actually contains
La arana Lucas	1	1			
La arana Lucas	1	2			
La arana Lucas	1	3			
La arana Lucas	1	4			
La arana Lucas	1	5			
La arana Lucas	1	6			
La arana Lucas	1	7			
La arana Lucas	1	8			
La arana Lucas	1	9			
La arana Lucas	1	10			
La arana Lucas	1	11			
La arana Lucas	1	12			
La arana Lucas	1	13			
La arana Lucas	1	14			
La arana Lucas	1	15			
La arana Lucas	1	16			
La arana Lucas	1	17			
La arana Lucas	1	18			
La arana Lucas	1	19			
La arana Lucas	1	20			
La arana Lucas	1	21			
La arana Lucas	1	22			
La arana Lucas	1	23			
La arana Lucas	1	24			
La arana Lucas	1	25			
La arana Lucas	1	26			
La arana Lucas	1	27			
La arana Lucas	1	28			
La arana Lucas	1	29			
La arana Lucas	1	30			
Numberblocks	1	1			
Numberblocks	1	2			
Numberblocks	1	3			
Numberblocks	1	4			
Numberblocks	1	5			
Numberblocks	1	6			
Numberblocks	1	7			
Numberblocks	1	8			
Numberblocks	1	9			
Numberblocks	1	10			
Numberblocks	1	11			
Numberblocks	1	12			
Numberblocks	1	13			
Numberblocks	1	14			
Numberblocks	1	15			
Numberblocks	1	16			
Numberblocks	1	17			
Numberblocks	1	18			
Numberblocks	1	19			
Numberblocks	1	20			
Numberblocks	1	21			
Numberblocks	1	22			
Numberblocks	1	23			
Numberblocks	1	24			
Numberblocks	1	25			
Numberblocks	1	26			
Numberblocks	1	27			
Numberblocks	1	28			
Numberblocks	1	29			
Numberblocks	1	30			
Numberblocks	1	31			
Numberblocks	1	32			
Numberblocks	1	33			
Numberblocks	1	34			
Numberblocks	1	35			
Numberblocks	1	36			
Numberblocks	1	37			
Numberblocks	1	38			
Numberblocks	1	39			
Numberblocks	1	40			
Numberblocks	1	41			
Numberblocks	1	42			
Numberblocks	1	43			
Numberblocks	1	44			
Numberblocks	1	45			
Numberblocks	1	46			
Numberblocks	1	47			
Octonautas	1	1			
Octonautas	1	2			
Octonautas	1	3			
Octonautas	1	4			
Octonautas	1	5			
Octonautas	1	6			
Octonautas	1	7			
Octonautas	1	8			
Octonautas	1	9			
Octonautas	1	10			
Octonautas	1	11			
Octonautas	1	12			
Octonautas	1	13			
Octonautas	1	14			
Octonautas	1	15			
Octonautas	1	16			
Octonautas	1	17			
Octonautas	1	18			
Octonautas	1	19			
Octonautas	1	20			
Octonautas	1	21			
Octonautas	1	22			
Octonautas	1	23			
Octonautas	1	24			
Octonautas	1	25			
Octonautas	1	26			
Octonautas	1	27			
Octonautas	1	28			
Octonautas	1	29			
Octonautas	1	30			
Octonautas	1	31			
Octonautas	1	32			
Octonautas	1	33			
Octonautas	1	34			
Octonautas	1	35			
Octonautas	1	36			
Octonautas	1	37			
Octonautas	1	38			
Octonautas	1	39			
Octonautas	1	40			
Octonautas	1	41			
Octonautas	1	42			
Octonautas	1	43			
Octonautas	1	44			
Octonautas	1	45			
Octonautas	1	46			
Octonautas	1	47			
Octonautas	1	48			
Octonautas	1	49			
Octonautas	1	50			
Octonautas	1	51			
Octonautas	1	52			
Octonautas	1	53			
Octonautas	1	54			
Octonautas	1	55			
Octonautas	1	56			
Octonautas	1	57			
Octonautas	1	58			
Octonautas	1	59			
Octonautas	1	60			
Octonautas	1	61			
Octonautas	1	62			
Octonautas	1	63			
Octonautas	1	64			
Octonautas	1	65			
Octonautas	1	66			
Octonautas	1	67			
Octonautas	1	68			
Octonautas	1	69			
Octonautas	1	70			
Octonautas	1	71			
Octonautas	1	72			
Octonautas	1	73			
Octonautas	1	74			
Octonautas	1	75			
Octonautas	1	76			
Octonautas	1	77			
Octonautas	1	78			
Octonautas	1	79			
Octonautas	1	80			
Octonautas	1	81			
Octonautas	1	82			
Octonautas	1	83			
Octonautas	1	84			
Octonautas	1	85			
Patoaventuras	1	1			
Patoaventuras	1	2			
Patoaventuras	1	3			
Patoaventuras	1	4			
Patoaventuras	1	5			
Patoaventuras	1	6			
Patoaventuras	1	8			
Patoaventuras	1	9			
Patoaventuras	1	10			
Patoaventuras	1	11			
Patoaventuras	1	12			
Patoaventuras	1	13			
Patoaventuras	1	14			
Patoaventuras	1	15			
Patoaventuras	1	16			
Patoaventuras	1	17			
Patoaventuras	1	18			
Patoaventuras	1	19			
Patoaventuras	1	20			
Patoaventuras	1	21			
Patoaventuras	1	22			
Patoaventuras	1	23			
Patoaventuras	1	24			
Patoaventuras	1	25			
Patoaventuras	2	1			
Patoaventuras	2	2			
Patoaventuras	2	3			
Patoaventuras	2	4			
Patoaventuras	2	6			
Patoaventuras	2	7			
Patoaventuras	2	8			
Patoaventuras	2	9			
Patoaventuras	2	10			
Patoaventuras	2	11			
Patoaventuras	2	12			
Patoaventuras	2	13			
Patoaventuras	2	14			
Patoaventuras	2	15			
Patoaventuras	2	20			
Patoaventuras	2	21			
Patoaventuras	2	22			
Patoaventuras	2	23			
Patoaventuras	2	24			
Patoaventuras	3	1			
Patoaventuras	3	7			
Patoaventuras	3	13			
Patoaventuras	3	14			
Patoaventuras	3	23			
